areasymbol	musym	muname	MUKEY	dom_cond_order	dom_cond_pct_order	dom_cond_suborder	dom_cond_pct_suborder
WI061	ShA	"Shiocton silt loam, 0 to 3 percent slopes"	422353	Mollisols	100	Udolls	100
WI061	SoA	"Solona silt loam, 0 to 3 percent slopes"	422354	Mollisols	100	Udolls	100
WI061	SyA	"Symco silt loam, 0 to 3 percent slopes"	422355	Alfisols	100	Udalfs	100
WI061	Uf	Udifluvents	422356		100		100
WI061	UoB	"Udorthents, 0 to 6 percent slopes"	422357		100		100
WI061	UoF	"Udorthents, 25 to 50 percent slopes"	422358		100		100
WI061	W	Water	422359		100		100
WI061	WaA	"Wainola loamy fine sand, 0 to 3 percent slopes"	422360	Spodosols	100	Aquods	100
WI061	We	Wauseon fine sandy loam	422361	Mollisols	100	Aquolls	100
WI061	WoB	"Waymor silt loam, 1 to 6 percent slopes"	422362	Alfisols	100	Udalfs	100
WI061	WoC2	"Waymor silt loam, 6 to 12 percent slopes, eroded"	422363	Alfisols	100	Udalfs	100
WI061	WoD2	"Waymor silt loam, 12 to 20 percent slopes, eroded"	422364	Alfisols	100	Udalfs	100
WI061	WzB	"Waymor-Casco-Zurich complex, 1 to 6 percent slopes"	422365	Alfisols	70	Udalfs	70
WI061	WzC2	"Waymor-Casco-Zurich complex, 6 to 12 percent slopes, eroded"	422366	Alfisols	70	Udalfs	70
WI061	WzD	"Waymor-Casco-Zurich complex, 12 to 20 percent slopes"	422367	Alfisols	70	Udalfs	70
WI061	WzE	"Waymor-Casco-Zurich complex, 20 to 35 percent slopes"	422368	Alfisols	70	Udalfs	70
WI061	ZuA	"Zurich silt loam, 0 to 2 percent slopes"	422369	Alfisols	100	Udalfs	100
WI061	ZuB	"Zurich silt loam, 2 to 6 percent slopes"	422370	Alfisols	100	Udalfs	100
WI061	ZuC2	"Zurich silt loam, 6 to 12 percent slopes, eroded"	422371	Alfisols	100	Udalfs	100
WI063	110D3	"Timula silt loam, 12 to 20 percent slopes, severely eroded"	2518478	Inceptisols	95	Udepts	95
WI063	1.10E+04	"Timula silt loam, 20 to 30 percent slopes, moderately eroded"	2518479	Inceptisols	95	Udepts	95
WI063	1125F	"Dorerton, very stony-Elbaville complex, 30 to 60 percent slopes"	2501428	Alfisols	94	Udalfs	94
WI063	1145F	"Gaphill-Rockbluff complex, 30 to 60 percent slopes"	2504284	Alfisols	63	Udalfs	63
WI063	114B2	"Mt. Carroll silt loam, 2 to 6 percent slopes, moderately eroded"	2501711	Alfisols	100	Udalfs	100
WI063	1155F	"Brodale-Bellechester-Rock outcrop complex, 60 to 90 percent slopes"	2501422	Mollisols	78	Udolls	78
WI063	115C2	"Seaton silt loam, 6 to 12 percent slopes, moderately eroded"	2497466	Alfisols	100	Udalfs	100
WI063	115D2	"Seaton silt loam, 12 to 20 percent slopes, moderately eroded"	2498246	Alfisols	95	Udalfs	95
WI063	1.15E+04	"Seaton silt loam, 20 to 30 percent slopes, moderately eroded"	2501716	Alfisols	95	Udalfs	95
WI063	116C2	"Churchtown silt loam, 6 to 12 percent slopes, moderately eroded"	2501721	Alfisols	100	Udalfs	100
WI063	116D2	"Churchtown silt loam, 12 to 20 percent slopes, moderately eroded"	2501727	Alfisols	98	Udalfs	98
WI063	1.16E+04	"Churchtown silt loam, 20 to 30 percent slopes, moderately eroded"	2498259	Alfisols	98	Udalfs	98
WI063	1233F	"Boone-Tarr sands, 15 to 50 percent slopes"	2499173	Entisols	85	Psamments	85
WI063	126B	"Barremills silt loam, 1 to 6 percent slopes"	2498264	Mollisols	96	Udolls	96
WI063	132B2	"Brinkman silt loam, 2 to 6 percent slopes, moderately eroded"	2503792	Alfisols	100	Udalfs	100
WI063	132C2	"Brinkman silt loam, 6 to 12 percent slopes, moderately eroded"	2498283	Alfisols	100	Udalfs	100
WI063	133B2	"Valton silt loam, 2 to 6 percent slopes, moderately eroded"	2498268	Alfisols	100	Udalfs	100
WI063	133C2	"Valton silt loam, 6 to 12 percent slopes, moderately eroded"	2498274	Alfisols	100	Udalfs	100
WI063	133D2	"Valton silt loam, 12 to 20 percent slopes, moderately eroded"	2498279	Alfisols	95	Udalfs	95
WI063	134C2	"Lamoille silt loam, 6 to 12 percent slopes, moderately eroded"	2503797	Alfisols	100	Udalfs	100
WI063	134D2	"Lamoille silt loam, 12 to 20 percent slopes, moderately eroded"	2504336	Alfisols	100	Udalfs	100
WI063	1.63E+04	"Elbaville silt loam, 20 to 30 percent slopes, moderately eroded"	2498381	Alfisols	100	Udalfs	100
WI063	1658A	"Algansee-Kalmarville complex, 0 to 3 percent slopes, frequently flooded"	2498205	Entisols	88	Psamments	58
WI063	1743F	"Council-Elevasil-Norden complex, 30 to 60 percent slopes"	2501376	Alfisols	93	Udalfs	93
WI063	2002	"Udorthents, earthen dams"	2518486	Entisols	100	Orthents	100
WI063	2003A	"Riverwash, nearly level"	2518470		97		97
WI063	2013	"Pits, gravel"	2501383		100		100
WI063	2014	"Pits, quarry, hard bedrock"	2504295		100		100
WI063	2020	"Urban land, valley trains"	2518485		90		90
WI063	202C2	"Lambeau silt loam, 6 to 12 percent slopes, moderately eroded"	2498132	Alfisols	100	Udalfs	100
WI063	202D2	"Lambeau silt loam, 12 to 20 percent slopes, moderately eroded"	2498289	Alfisols	100	Udalfs	100
WI063	2030	"Udorthents and Udipsamments, cut or fill"	2499164	Entisols	50	Psamments	50
WI063	2040	"Udipsamments, dredge material"	2518465	Entisols	100	Psamments	98
WI063	2050	Landfill	2501412		100		100
WI063	20A	"Palms and Houghton mucks, 0 to 1 percent slopes"	2498213	Histosols	89	Saprists	89
WI063	213D2	"Hixton silt loam, 12 to 20 percent slopes, moderately eroded"	2498296	Alfisols	98	Udalfs	98
WI063	2.13E+04	"Hixton silt loam, 20 to 30 percent slopes, moderately eroded"	2498300	Alfisols	100	Udalfs	100
WI063	21A	"Palms muck, 0 to 1 percent slopes, frequently flooded"	2504318	Histosols	90	Saprists	90
WI063	224B	"Elevasil sandy loam, 2 to 6 percent slopes"	2498142	Alfisols	93	Udalfs	93
WI063	224C2	"Elevasil sandy loam, 6 to 12 percent slopes, moderately eroded"	2498149	Alfisols	95	Udalfs	95
WI063	224D2	"Elevasil sandy loam, 12 to 20 percent slopes, moderately eroded"	2498197	Alfisols	94	Udalfs	94
WI063	233C	"Boone sand, 6 to 15 percent slopes"	2498309	Entisols	98	Psamments	98
WI063	253C2	"Greenridge silt loam, 4 to 12 percent slopes, moderately eroded"	2498314	Alfisols	100	Udalfs	100
WI063	253D2	"Greenridge silt loam, 12 to 20 percent slopes, moderately eroded"	2498318	Alfisols	100	Udalfs	100
WI063	254C2	"Norden silt loam, 6 to 12 percent slopes, moderately eroded"	2498328	Alfisols	98	Udalfs	98
WI063	254D2	"Norden silt loam, 12 to 20 percent slopes, moderately eroded"	2498336	Alfisols	94	Udalfs	94
WI063	2.54E+04	"Norden silt loam, 20 to 30 percent slopes, moderately eroded"	2498373	Alfisols	92	Udalfs	92
WI063	296B	"Ludington sand, 1 to 6 percent slopes"	2498418	Spodosols	95	Orthods	95
WI063	30A	"Adder muck, 0 to 1 percent slopes, frequently flooded"	2498234	Histosols	93	Saprists	93
WI063	312B2	"Festina silt loam, 2 to 6 percent slopes, moderately eroded"	2504000	Alfisols	100	Udalfs	100
WI063	318A	"Bearpen silt loam, 0 to 3 percent slopes, rarely flooded"	2498427	Mollisols	94	Udolls	94
WI063	326B2	"Medary silt loam, 1 to 6 percent slopes, moderately eroded"	2504013	Alfisols	98	Udalfs	98
WI063	326F	"Medary silt loam, 15 to 45 percent slopes"	2504018	Alfisols	100	Udalfs	100
WI063	336A	"Toddville silt loam, 0 to 3 percent slopes"	2498526	Mollisols	93	Udolls	93
WI063	403A	"Dakota silt loam, 0 to 3 percent slopes"	2504028	Mollisols	100	Udolls	100
WI063	413A	"Rasset sandy loam, 0 to 3 percent slopes"	2504034	Mollisols	96	Udolls	96
WI063	424B	"Merit silt loam, 1 to 6 percent slopes"	2498537	Alfisols	100	Udalfs	100
WI063	424D2	"Merit silt loam, 12 to 20 percent slopes, moderately eroded"	2504057	Alfisols	90	Udalfs	90
WI063	424F	"Merit silt loam, 20 to 45 percent slopes"	2504059	Alfisols	100	Udalfs	100
WI063	433B	"Forkhorn sandy loam, 2 to 6 percent slopes"	2498542	Alfisols	98	Udalfs	98
WI063	434B	"Bilson sandy loam, 1 to 6 percent slopes"	2498549	Alfisols	96	Udalfs	96
WI063	434C2	"Bilson sandy loam, 6 to 12 percent slopes, moderately eroded"	2504063	Alfisols	92	Udalfs	92
WI063	446A	"Merimod silt loam, 0 to 3 percent slopes"	2498950	Alfisols	96	Udalfs	96
WI063	456A	"Bilmod sandy loam, 0 to 3 percent slopes"	2498953	Alfisols	98	Udalfs	98
WI063	458A	"Hoop sandy loam, 0 to 3 percent slopes"	2498956	Mollisols	90	Udolls	90
WI063	483B2	"Brice loamy fine sand, 2 to 6 percent slopes, moderately eroded"	2518480	Alfisols	90	Udalfs	90
WI063	501A	"Finchford loamy sand, 0 to 3 percent slopes"	2498961	Mollisols	97	Udolls	97
WI063	502B2	"Chelsea fine sand, 2 to 6 percent slopes, moderately eroded"	2504133	Entisols	95	Psamments	95
WI063	502C2	"Chelsea fine sand, 6 to 15 percent slopes, moderately eroded"	2504139	Entisols	97	Psamments	97
WI063	511B	"Plainfield sand, 2 to 6 percent slopes"	2498973	Entisols	96	Psamments	96
WI063	511C	"Plainfield sand, 6 to 15 percent slopes"	2498978	Entisols	100	Psamments	100
WI063	511F	"Plainfield sand, 15 to 60 percent slopes"	2498985	Entisols	100	Psamments	100
WI063	551A	"Impact sand, 0 to 3 percent slopes"	2498991	Inceptisols	89	Udepts	89
WI063	556A	"Mindoro sand, 0 to 3 percent slopes"	2518481	Inceptisols	100	Udepts	100
WI063	561B	"Tarr sand, 1 to 6 percent slopes"	2498994	Entisols	95	Psamments	95
WI063	561C	"Tarr sand, 6 to 15 percent slopes"	2498997	Entisols	98	Psamments	98
WI063	561F	"Tarr sand, 15 to 60 percent slopes"	2499000	Entisols	95	Psamments	95
WI063	562B	"Gosil loamy sand, 1 to 6 percent slopes"	2499003	Entisols	97	Psamments	97
WI063	562C	"Gosil loamy sand, 6 to 12 percent slopes"	2499006	Entisols	97	Psamments	97
WI063	566A	"Tint sand, 0 to 3 percent slopes"	2499009	Entisols	98	Psamments	98
WI063	568A	"Majik loamy fine sand, 0 to 3 percent slopes"	2499013	Entisols	100	Psamments	96
WI063	569A	"Newlang muck, 0 to 2 percent slopes, occasionally flooded"	2499016	Entisols	97	Aquents	92
WI063	576B	"Tintson sand, 1 to 6 percent slopes"	2499018	Entisols	95	Psamments	95
WI063	601C	"Beavercreek cobbly fine sandy loam, 3 to 12 percent slopes, occasionally flooded"	2504156	Entisols	98	Fluvents	98
WI063	606A	"Huntsville silt loam, 0 to 3 percent slopes, occasionally flooded"	2504160	Mollisols	100	Udolls	100
WI063	608A	"Lawson silt loam, 0 to 3 percent slopes, occasionally flooded"	2518482	Mollisols	93	Udolls	90
WI063	609A	"Otter silt loam, 0 to 2 percent slopes, frequently flooded"	2518483	Mollisols	93	Aquolls	93
WI063	625A	"Arenzville silt loam, channeled, 0 to 2 percent slopes, occasionally flooded"	2518484	Entisols	96	Fluvents	96
WI063	626A	"Arenzville silt loam, 0 to 3 percent slopes, occasionally flooded"	2499022	Entisols	95	Fluvents	95
WI063	628A	"Orion silt loam, 0 to 3 percent slopes, occasionally flooded"	2499030	Entisols	96	Fluvents	96
WI063	629A	"Ettrick silt loam, 0 to 2 percent slopes, frequently flooded"	2499037	Mollisols	92	Aquolls	92
WI063	656A	"Scotah loamy fine sand, 0 to 3 percent slopes, occasionally flooded"	2499049	Entisols	99	Psamments	96
WI063	666A	"Absco loamy sand, 0 to 3 percent slopes, occasionally flooded"	2499054	Entisols	95	Fluvents	90
WI063	676A	"Kickapoo fine sandy loam, 0 to 3 percent slopes, occasionally flooded"	2505868	Entisols	100	Fluvents	92
WI063	739A	"Root loam, 0 to 2 percent slopes, frequently flooded"	2505871	Entisols	100	Aquents	95
WI063	743C2	"Council fine sandy loam, 6 to 12 percent slopes, moderately eroded"	2505873	Alfisols	97	Udalfs	97
WI063	743D2	"Council fine sandy loam, 12 to 20 percent slopes, moderately eroded"	2505876	Alfisols	96	Udalfs	96
WI063	7.43E+04	"Council fine sandy loam, 20 to 30 percent slopes, moderately eroded"	2505879	Alfisols	100	Udalfs	100
WI063	M-W	Miscellaneous water	2504305		100		100
WI063	W	Water	2504312		100		100
WI065	1130E	"Lacrescent-Dunbarton complex, 20 to 30 percent slopes, very stony"	2809837	Mollisols	60	Udolls	60
WI065	1130F	"Lacrescent-Dunbarton complex, very stony, 30 to 60 percent slopes"	2561808	Mollisols	60	Udolls	60
WI065	1177E	"Derinda-Rock outcrop-Elizabeth complex, 20 to 30 percent slopes, rubbly"	2561813	Alfisols	45	Udalfs	45
WI065	1177F	"Derinda-Rock outcrop-Elizabeth complex, 30 to 60 percent slopes, rubbly"	2561801	Alfisols	45	Udalfs	45
